YR-MON,Silver,Silver-1,Silver-2,Silver-3,Silver-4,Silver-5,Silver-6,Copper,Copper-1,Copper-2,Copper-3,Copper-4,Copper-5,Copper-6,Steel,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5,Steel-6,PriceIncrDate
2018-Dec,0.023,-0.015,0.022,-0.049,-0.045,-0.049,0.003,-0.01,-0.006,0.021,0.003,-0.036,-0.102,0.014,-0.004,0.011,-0.002,0,0.002,0.007,0.015,0
2019-Jan,0.061,0.023,-0.015,0.022,-0.049,-0.045,-0.049,-0.02,-0.01,-0.006,0.021,0.003,-0.036,-0.102,-0.022,-0.004,0.011,-0.002,0,0.002,0.007,0
2019-Feb,0.014,0.061,0.023,-0.015,0.022,-0.049,-0.045,0.069,-0.02,-0.01,-0.006,0.021,0.003,-0.036,-0.02,-0.022,-0.004,0.011,-0.002,0,0.002,0
2019-Mar,-0.031,0.014,0.061,0.023,-0.015,0.022,-0.049,0.017,0.069,-0.02,-0.01,-0.006,0.021,0.003,0.012,-0.02,-0.022,-0.004,0.011,-0.002,0,0
2019-Apr,-0.018,-0.031,0.014,0.061,0.023,-0.015,0.022,0.005,0.017,0.069,-0.02,-0.01,-0.006,0.021,-0.019,0.012,-0.02,-0.022,-0.004,0.011,-0.002,0
2019-May,-0.028,-0.018,-0.031,0.014,0.061,0.023,-0.015,-0.062,0.005,0.017,0.069,-0.02,-0.01,-0.006,-0.018,-0.019,0.012,-0.02,-0.022,-0.004,0.011,0
2019-Jun,0.025,-0.028,-0.018,-0.031,0.014,0.061,0.023,-0.021,-0.062,0.005,0.017,0.069,-0.02,-0.01,-0.032,-0.018,-0.019,0.012,-0.02,-0.022,-0.004,1
2019-Jul,0.05,0.025,-0.028,-0.018,-0.031,0.014,0.061,0.006,-0.021,-0.062,0.005,0.017,0.069,-0.02,-0.025,-0.032,-0.018,-0.019,0.012,-0.02,-0.022,0
2019-Aug,0.088,0.05,0.025,-0.028,-0.018,-0.031,0.014,-0.042,0.006,-0.021,-0.062,0.005,0.017,0.069,0.004,-0.025,-0.032,-0.018,-0.019,0.012,-0.02,1
2019-Sep,0.06,0.088,0.05,0.025,-0.028,-0.018,-0.031,0.014,-0.042,0.006,-0.021,-0.062,0.005,0.017,-0.025,0.004,-0.025,-0.032,-0.018,-0.019,0.012,1
2019-Oct,-0.03,0.06,0.088,0.05,0.025,-0.028,-0.018,0.002,0.014,-0.042,0.006,-0.021,-0.062,0.005,-0.028,-0.025,0.004,-0.025,-0.032,-0.018,-0.019,1
2019-Nov,-0.025,-0.03,0.06,0.088,0.05,0.025,-0.028,0.014,0.002,0.014,-0.042,0.006,-0.021,-0.062,-0.006,-0.028,-0.025,0.004,-0.025,-0.032,-0.018,0
2019-Dec,-0.004,-0.025,-0.03,0.06,0.088,0.05,0.025,0.041,0.014,0.002,0.014,-0.042,0.006,-0.021,0.011,-0.006,-0.028,-0.025,0.004,-0.025,-0.032,0
2020-Jan,0.05,-0.004,-0.025,-0.03,0.06,0.088,0.05,-0.008,0.041,0.014,0.002,0.014,-0.042,0.006,0.023,0.011,-0.006,-0.028,-0.025,0.004,-0.025,0
2020-Feb,-0.002,0.05,-0.004,-0.025,-0.03,0.06,0.088,-0.061,-0.008,0.041,0.014,0.002,0.014,-0.042,-0.014,0.023,0.011,-0.006,-0.028,-0.025,0.004,0
2020-Mar,-0.168,-0.002,0.05,-0.004,-0.025,-0.03,0.06,-0.086,-0.061,-0.008,0.041,0.014,0.002,0.014,0.007,-0.014,0.023,0.011,-0.006,-0.028,-0.025,0
2020-Apr,0.008,-0.168,-0.002,0.05,-0.004,-0.025,-0.03,-0.028,-0.086,-0.061,-0.008,0.041,0.014,0.002,-0.028,0.007,-0.014,0.023,0.011,-0.006,-0.028,0
2020-May,0.08,0.008,-0.168,-0.002,0.05,-0.004,-0.025,0.04,-0.028,-0.086,-0.061,-0.008,0.041,0.014,-0.006,-0.028,0.007,-0.014,0.023,0.011,-0.006,0
